"site number","site location","Cluster","site acronym","date","sample type","nutrient comments","total_nitrogen","total_dissolved_nitrogen","total_phosphorus","total_dissolved_phosphorus","nitrate_nitrogen","ammonium_nitrogen","dissolved_organic_nitrogen"
"R19","Val Vista WTP treated water","srp","val vista-treated","2008-12-02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2008-12-02",NA,NA,NA,0.51,112.5,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2008-12-02",NA,NA,NA,0.47,34.8,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2008-12-02",NA,NA,NA,0.48,39.5,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2008-12-02",NA,NA,NA,0.35,114.7,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2008-12-02",NA,NA,NA,0.43,16.4,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2008-12-02",NA,NA,NA,0.41,13.2,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2008-12-02",NA,NA,NA,0.45,7.8,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2008-12-02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2008-12-02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2008-12-02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2008-12-02",NA,NA,NA,0.34,8.9,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2008-12-02",NA,NA,NA,0.37,24.1,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2008-12-02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2008-12-02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2008-12-02",NA,NA,NA,0.64,22.5,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2008-12-02",NA,NA,NA,0.63,21.4,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2008-12-02",NA,NA,NA,0.58,20.6,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","2008-12-02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2008-12-02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2008-12-02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2008-12-02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2008-12-02",NA,NA,NA,0.57,4.5,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2008-12-02",NA,NA,NA,0.51,NA,NA,NA,NA,NA
"VV West","Val Vista West WTP treated water","srp","val vista WEST-treated","2008-12-02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glendale In","Glendale WTP Inlet","srp","Glendale WTP Inlet","2009-01-05",NA,NA,NA,0.64,49,NA,NA,NA,NA
"Glendale Out","Glendale WTP Outlet","srp","Glendale WTP Outlet","2009-01-05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Greenway WTP Inlet","2009-01-05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Green Out","Greenway WTP Outlet","srp","Greenway WTP Outlet","2009-01-05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2009-01-05",NA,NA,NA,0.57,6.3,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2009-01-05",NA,NA,NA,0.46,33.6,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2009-01-05",NA,NA,NA,0.49,29.4,NA,NA,NA,NA
"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","2009-01-05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2009-01-05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2009-01-05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2009-01-05",NA,NA,NA,0.64,32.6,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2009-01-05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2009-01-05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2009-01-05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2009-01-05",NA,NA,NA,0.54,86.4,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2009-01-05",NA,NA,NA,0.55,80.2,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2009-01-05",NA,NA,NA,0.66,29.7,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2009-01-05",NA,NA,NA,0.6,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2009-01-05",NA,NA,NA,0.64,48.7,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2009-01-05",NA,NA,NA,0.54,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2009-01-05",NA,NA,NA,0.54,NA,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2009-01-05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2009-01-05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2009-01-05",NA,NA,NA,0.8,39.7,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2009-01-05",NA,NA,NA,0.63,40.5,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2009-01-05",NA,NA,NA,0.62,43.5,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2009-01-05",NA,NA,NA,0.46,12.2,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2009-01-05",NA,NA,NA,0.5,26.5,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2009-01-05",NA,NA,NA,0.58,6.2,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2009-01-05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2009-01-05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2009-01-05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2009-01-05",NA,NA,NA,0.44,28,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2009-01-05",NA,NA,NA,0.52,29.5,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2009-01-05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2009-01-05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2009-01-05",NA,NA,NA,0.71,25,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2009-01-05",NA,NA,NA,0.65,21.6,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2009-01-05",NA,NA,NA,0.58,23.2,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","2009-01-05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2009-01-05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2009-01-05",NA,NA,NA,0.43,19,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2009-01-05",NA,NA,NA,0.5,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2009-01-05",NA,NA,NA,0.58,5.4,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2009-01-05",NA,NA,NA,0.49,NA,NA,NA,NA,NA
"VV West","Val Vista West WTP treated water","srp","val vista WEST-treated","2009-01-05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glendale In","Glendale WTP Inlet","srp","Glendale WTP Inlet","2009-02-02",NA,NA,NA,0.77,41.3,NA,NA,NA,NA
"Glendale Out","Glendale WTP Outlet","srp","Glendale WTP Outlet","2009-02-02",NA,NA,NA,1.42,NA,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Greenway WTP Inlet","2009-02-02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Green Out","Greenway WTP Outlet","srp","Greenway WTP Outlet","2009-02-02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2009-02-02",NA,NA,NA,0.69,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2009-02-02",NA,NA,NA,0.41,36.3,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2009-02-02",NA,NA,NA,0.42,40.8,NA,NA,NA,NA
"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","2009-02-02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2009-02-02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2009-02-02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2009-02-02",NA,NA,NA,2.61,42.6,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2009-02-02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2009-02-02",NA,NA,NA,0.46,23.6,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2009-02-02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2009-02-02",NA,NA,NA,0.46,49.1,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2009-02-02",NA,NA,NA,0.47,56.5,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2009-02-02",NA,NA,NA,1.08,20.3,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2009-02-02",NA,NA,NA,0.81,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2009-02-02",NA,NA,NA,0.99,43.9,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2009-02-02",NA,NA,NA,0.59,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2009-02-02",NA,NA,NA,0.46,44.7,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2009-02-02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2009-02-02",NA,NA,NA,NA,148,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2009-02-02",NA,NA,NA,0.8,31.9,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2009-02-02",NA,NA,NA,1.27,37,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2009-02-02",NA,NA,NA,0.51,22.9,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2009-02-02",NA,NA,NA,0.55,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2009-02-02",NA,NA,NA,0.59,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2009-02-02",NA,NA,NA,0.66,8.2,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2009-02-02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2009-02-02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2009-02-02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2009-02-02",NA,NA,NA,0.37,63.1,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2009-02-02",NA,NA,NA,0.52,25,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2009-02-02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2009-02-02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2009-02-02",NA,NA,NA,0.75,39.4,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2009-02-02",NA,NA,NA,0.67,30.8,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2009-02-02",NA,NA,NA,0.68,25.9,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","2009-02-02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2009-02-02",NA,NA,NA,0.46,36.1,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2009-02-02",NA,NA,NA,0.45,19.6,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2009-02-02",NA,NA,NA,0.37,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2009-02-02",NA,NA,NA,0.67,15.5,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2009-02-02",NA,NA,NA,0.6,NA,NA,NA,NA,NA
"VV West","Val Vista West WTP treated water","srp","val vista WEST-treated","2009-02-02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glendale In","Glendale WTP Inlet","srp","Glendale WTP Inlet","2009-03-02",NA,NA,NA,0.58,69.1,NA,NA,NA,NA
"Glendale Out","Glendale WTP Outlet","srp","Glendale WTP Outlet","2009-03-02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Greenway WTP Inlet","2009-03-02",NA,NA,NA,0.57,33.8,NA,NA,NA,NA
"Green Out","Greenway WTP Outlet","srp","Greenway WTP Outlet","2009-03-02",NA,NA,NA,0.46,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2009-03-02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2009-03-02",NA,NA,NA,0.52,19.5,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2009-03-02",NA,NA,NA,0.47,66.3,NA,NA,NA,NA
"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","2009-03-02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2009-03-02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2009-03-02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2009-03-02",NA,NA,NA,0.56,53.2,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2009-03-02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2009-03-02",NA,NA,NA,0.55,28.3,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2009-03-02",NA,NA,NA,NA,NA,NA,NA,NA,NA
